"track_name","artist(s)_name","artist_count","released_year","released_month","released_day","in_spotify_playlists","in_spotify_charts","in_apple_playlists","in_apple_charts","in_deezer_playlists","in_deezer_charts","in_shazam_charts","bpm","major_key","danceability","valence","energy","acousticness","instrumentalness","liveness","speechiness","streams","streams_per_month"
"Rush","Troye Sivan",1,2023,7,13,864,78,71,135,50,1,294,126,0,74,35,84,0,0,11,6,22581161,4056495.98802395
"TULUM","Peso Pluma, Grupo Frontera",2,2023,6,28,266,34,20,185,13,8,197,168,1,56,63,87,39,0,11,5,52294266,8619933.95604396
"Creepin'","The Weeknd, 21 Savage, Metro Boomin",3,2022,12,2,6036,88,113,149,245,23,27,98,0,71,17,61,36,0,8,5,843957510,70329792.5
"Anti-Hero","Taylor Swift",1,2022,10,21,9082,56,242,142,165,9,310,97,1,64,51,63,12,0,19,5,999748277,83312356.4166667
"TQG","Karol G, Shakira",2,2023,2,23,4284,49,115,123,184,18,354,180,0,72,61,63,67,0,9,28,618990393,60487660.5537459
"Los del Espacio","Big One, Duki, Lit Killah, Maria Becerra, FMK, Rusherking, Emilia, Tiago pzk",8,2023,6,1,1150,31,22,33,34,7,184,120,1,81,63,68,11,0,11,4,123122413,17673073.6363636
"Frï¿½ï¿½gil (feat. Grupo Front","Yahritza Y Su Esencia, Grupo Frontera",2,2023,4,7,672,34,19,108,24,9,212,150,1,61,39,73,37,0,11,3,188933502,21551350.0380228
"Blank Space","Taylor Swift",1,2014,1,1,11434,53,154,123,410,2,81,96,1,75,57,68,9,0,13,6,1355959075,112996589.583333
"Style","Taylor Swift",1,2014,1,1,7830,42,94,111,151,4,82,95,1,60,48,79,0,0,12,4,786181836,65515153
"TQM","Fuerza Regida",1,2023,5,19,584,28,16,159,15,6,100,125,0,79,96,85,27,0,11,6,176553476,23966535.2036199
"El Azul","Junior H, Peso Pluma",2,2023,2,10,692,25,10,107,6,3,62,144,0,56,84,65,23,0,10,6,354495408,33233944.5
"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone, Swae Lee",2,2018,10,9,24094,78,372,117,843,4,69,90,1,76,91,50,54,0,7,5,2808096550,234008045.833333
"I'm Good (Blue)","Bebe Rexha, David Guetta",2,2022,8,26,12482,80,291,184,537,45,727,128,0,56,38,97,4,0,35,4,1109433169,92452764.0833333
"See You Again","Tyler, The Creator, Kali Uchis",3,2017,7,21,13387,64,77,58,247,1,311,79,1,56,58,56,37,0,11,10,1047101291,87258440.9166667
"Barbie World (with Aqua) [From Barbie The Album]","Nicki Minaj, Aqua, Ice Spice",3,2023,6,23,1117,80,82,145,65,16,1133,144,1,77,75,58,52,0,23,25,65156199,10452866.1497326
"Angels Like You","Miley Cyrus",1,2020,11,27,3372,19,65,48,138,1,102,122,1,67,49,64,10,0,10,3,570515054,47542921.1666667
"I Ain't Worried","OneRepublic",1,2022,5,13,8431,76,241,127,458,37,332,140,1,71,82,81,11,0,6,5,1085685420,90473785
"Die For You","The Weeknd",1,2016,11,24,2483,59,68,21,24,0,259,134,0,59,51,52,9,0,15,7,1647990401,137332533.416667
"Starboy","The Weeknd, Daft Punk",2,2016,9,21,29536,79,281,137,2445,1,140,186,1,68,49,59,16,0,13,28,2565529693,213794141.083333
"Die For You - Remix","Ariana Grande, The Weeknd",2,2023,2,24,3408,47,87,86,74,1,16,67,0,53,50,53,23,0,44,7,518745108,50857363.5294118
"El Cielo","Feid, Myke Towers, Sky Rompiendo",3,2023,6,2,1298,38,44,64,57,10,110,106,0,72,17,64,7,0,10,5,107753850,15541420.6730769
"Baby Don't Hurt Me","David Guetta, Anne-Marie, Coi Leray",3,2023,4,6,4277,66,145,111,213,11,810,128,1,60,23,91,0,0,12,3,177740666,20197802.9545455
"AMARGURA","Karol G",1,2023,2,24,1133,39,14,71,23,10,176,107,0,92,55,70,18,0,15,7,153372011,15036471.6666667
"(It Goes Like) Nanana - Edit","Peggy Gou",1,2023,6,15,2259,59,0,0,109,17,0,130,0,67,96,88,12,19,8,4,57876440,8904067.69230769
"Another Love","Tom Odell",1,2012,10,15,18371,83,250,122,3394,19,0,123,0,45,13,54,70,0,9,4,1813673666,151139472.166667
"Blinding Lights","The Weeknd",1,2019,11,29,43899,69,672,199,3421,20,0,171,1,50,38,80,0,0,9,7,3703895074,308657922.833333
"Moonlight","Kali Uchis",1,2023,2,24,2649,42,67,79,57,1,615,137,0,64,88,72,51,0,17,5,256483385,25145429.9019608
"La Bachata","Manuel Turizo",1,2022,5,26,6804,45,139,111,161,15,210,125,0,84,85,68,58,0,22,4,1214083358,101173613.166667
"S91","Karol G",1,2023,7,14,525,41,34,115,39,6,216,128,0,86,42,72,59,0,9,19,16011326,2893613.13253012
"cardigan","Taylor Swift",1,2020,7,24,7923,29,106,112,142,4,215,130,0,61,53,58,55,0,27,4,812019557,67668296.4166667
"Tï¿½ï¿","dennis, MC Kevin o Chris",2,2023,5,4,731,15,27,17,73,4,167,130,1,86,59,96,50,1,9,5,111947664,14230635.2542373
"Boy's a liar Pt. 2","PinkPantheress, Ice Spice",2,2023,2,3,5184,41,154,84,102,14,37,133,1,70,86,81,25,0,25,5,156338624,14342993.0275229
"Left and Right (Feat. Jung Kook of BTS)","Charlie Puth, BTS, Jung Kook",3,2022,6,24,3107,39,38,0,4,0,0,101,1,88,72,59,62,0,9,3,720434240,60036186.6666667
"BESO","Rauw Alejandro, ROSALï¿½",2,2023,3,24,4053,50,82,121,182,12,171,95,0,77,53,64,74,0,17,14,357925728,38904970.4347826
"Hey Mor","Ozuna, Feid",2,2022,10,6,4637,38,63,79,89,11,16,98,0,90,40,59,0,0,10,29,674072710,56172725.8333333
"Yellow","Chris Molitor",1,1999,1,1,31358,43,196,2,4053,5,0,173,1,43,28,66,0,0,23,3,1755214421,146267868.416667
"Karma","Taylor Swift",1,2022,10,21,3818,23,37,55,32,0,272,90,1,64,10,62,7,0,48,7,404562836,33713569.6666667
"People","Libianca",1,2022,12,2,3506,56,105,64,169,8,529,198,0,59,71,42,55,0,10,7,373199958,31099996.5
"Overdrive","Post Malone",1,2023,7,14,410,36,36,32,31,1,26,140,1,56,48,73,0,0,35,4,14780425,2671161.14457831
"Enchanted (Taylor's Version)","Taylor Swift",1,2023,7,7,148,24,32,93,8,2,5,82,1,51,22,53,1,0,15,3,39578178,6863267.86127168
"BABY HELLO","Rauw Alejandro, Bizarrap",2,2023,6,23,1004,35,42,80,58,3,169,130,0,77,84,89,17,0,43,5,54266102,8705791.76470588
"Heat Waves","Glass Animals",1,2020,6,28,22543,63,386,144,707,28,0,81,1,76,53,53,44,0,9,9,2557975762,213164646.833333
"golden hour","JVKE",1,2022,7,15,4511,36,70,58,109,18,230,94,0,51,14,59,65,18,25,3,751134527,62594543.9166667
"Sweater Weather","The Neighbourhood",1,2012,5,14,16413,61,166,87,1056,1,0,124,1,61,41,81,5,2,10,3,2282771485,190230957.083333
"Quevedo: Bzrp Music Sessions, Vol. 52","Bizarrap, Quevedo",2,2022,7,6,8506,45,94,65,164,14,176,128,1,62,55,78,1,3,23,4,1356565093,113047091.083333
"Viva La Vida","Coldplay",1,2008,1,1,33898,62,233,0,4095,9,0,138,0,49,42,62,9,0,11,3,1592909789,132742482.416667
"Here With Me","d4vd",1,2022,7,17,3246,23,94,85,68,1,84,132,1,58,27,48,50,0,12,3,635412045,52951003.75
"Unholy (feat. Kim Petras)","Sam Smith, Kim Petras",2,2022,9,22,8576,42,216,108,331,26,154,131,1,71,24,47,1,0,27,9,1230675890,102556324.166667
"Yandel 150","Yandel, Feid",2,2022,12,20,3618,38,47,74,80,14,194,168,0,78,58,73,5,0,10,7,585695368,48807947.3333333
"CORAZï¿½ï¿½N VA","Maria Becerra",1,2023,6,22,370,20,12,16,18,4,93,98,1,68,40,79,33,0,30,6,43857627,6998557.5
"Riptide","Vance Joy",1,1975,1,1,31123,55,300,65,1003,1,0,102,1,48,50,73,43,0,15,4,2009094673,167424556.083333
"Until I Found You (with Em Beihold) - Em Beihold Version","Em Beihold, Stephen Sanchez",2,2022,4,22,2790,30,60,96,71,0,115,101,1,34,32,57,78,0,20,3,600976848,50081404
"Novidade na ï¿½ï¿","Mc Livinho, DJ Matt D",2,2023,6,23,267,9,9,6,25,2,72,130,1,63,36,34,76,0,35,9,39709092,6370442.56684492
"Back To December (Taylor's Version)","Taylor Swift",1,2023,7,7,139,17,16,72,5,0,8,142,1,50,20,64,1,0,12,3,39228929,6802704.45086705
"STAY (with Justin Bieber)","Justin Bieber, The Kid Laroi",2,2021,7,9,17050,36,492,99,798,31,0,170,1,59,48,76,4,0,10,5,2665343922,222111993.5
"El Merengue","Marshmello, Manuel Turizo",2,2023,3,3,2114,44,80,75,110,11,323,124,0,78,70,68,3,1,11,4,223633238,22589215.959596
"Someone You Loved","Lewis Capaldi",1,2018,11,8,17836,53,440,125,1800,0,0,110,1,50,45,41,75,0,11,3,2887241814,240603484.5
"Me Porto Bonito","Chencho Corleone, Bad Bunny",2,2022,5,6,8870,43,104,120,141,26,49,92,0,91,43,71,9,0,9,8,1440757818,120063151.5
"Makeba","Jain",1,2015,6,22,6060,53,150,148,2703,22,1451,116,1,82,40,66,39,51,25,7,165484133,13790344.4166667
"MONTAGEM - FR PUNK","Ayparia, unxbected",2,2012,6,20,641,50,1,52,8,0,1170,129,1,63,84,82,70,8,9,7,58054811,4837900.91666667
"Fast Car","Luke Combs",1,2023,3,24,1446,12,57,97,35,0,429,98,1,71,67,60,19,0,12,3,157058870,17071616.3043478
"What It Is (Solo Version)","Doechii",1,2023,3,17,804,25,29,76,24,0,162,172,0,74,76,76,6,0,10,9,95131998,10084664.0989399
"Coco Chanel","Bad Bunny, Eladio Carrion",2,2023,3,17,1962,38,28,89,29,5,82,150,1,68,14,76,4,0,10,4,250305248,26534125.229682
"Dont Bl","Taylor Swift",1,2017,11,8,4875,23,19,45,0,0,10,136,0,62,19,53,11,0,6,4,685032533,57086044.4166667
"Still With You","Jung Kook",1,2020,6,5,31,39,2,107,8,0,0,88,0,53,34,47,9,0,83,4,38411956,3200996.33333333
"All My Life (feat. J. Cole)","J. Cole, Lil Durk",2,2023,5,12,2175,23,69,145,69,2,478,143,1,83,69,44,15,0,10,33,144565150,19021730.2631579
"Say Yes To Heaven","Lana Del Rey",1,2023,3,17,2000,46,49,105,63,1,0,100,0,49,17,35,71,9,11,3,127567540,13523060.7773852
"Snooze","SZA",1,2022,12,9,2839,25,58,156,42,1,236,143,1,56,39,55,14,0,11,13,399686758,33307229.8333333
"Summertime Sadness","Lana Del Rey",1,2011,1,1,20333,52,89,143,1632,3,200,112,0,56,24,66,7,0,12,3,983637508,81969792.3333333
"Take Two","BTS",1,2023,6,9,674,47,20,106,25,4,78,93,1,62,57,59,3,0,38,3,118482347,17683932.3880597
"Lover","Taylor Swift",1,2012,1,1,8448,23,160,110,163,0,5,206,1,43,50,55,50,0,15,10,882831184,73569265.3333333
"Too Many Nights (feat. Don Toliver & with Future)","Future, Metro Boomin, Don Toliver",3,2022,12,2,2110,58,17,119,19,2,266,88,0,68,17,71,15,0,11,5,286400165,23866680.4166667
"Chemical","Post Malone",1,2023,4,14,2528,39,56,91,59,3,486,170,1,50,37,90,0,0,12,5,172825906,20253035.859375
"Mockingbird","Eminem",1,2004,1,1,12985,61,49,98,2394,5,204,84,0,62,24,67,21,0,13,28,1241559043,103463253.583333
"New Jeans","NewJeans",1,2023,7,7,77,35,8,166,4,4,34,134,0,81,53,72,51,0,12,5,29562220,5126396.53179191
"Primera Cita","Carin Leon",1,2022,4,20,266,27,6,40,6,6,202,158,1,54,50,40,61,0,10,6,77309611,6442467.58333333
"Cold Heart - PNAU Remix","Dua Lipa, Elton John, Pnau",3,2017,11,10,21097,52,384,135,1034,37,312,116,1,80,92,80,4,0,10,3,1605224506,133768708.833333
"Dandelions","Ruth B.",1,2017,4,28,3423,21,41,100,59,1,32,117,1,61,45,69,2,0,9,3,1116995633,93082969.4166667
"Bones","Imagine Dragons",1,2021,3,11,4198,44,98,108,327,17,153,114,0,77,65,72,2,0,7,5,838079900,69839991.6666667
"Set Fire to the Rain","Adele",1,2011,1,1,14739,43,88,112,2163,5,519,108,0,61,47,68,0,0,13,3,1163620694,96968391.1666667
"Money Trees","Kendrick Lamar, Jay Rock",2,2012,1,1,26792,32,69,113,695,0,458,144,0,74,37,53,7,0,21,10,1093605526,91133793.8333333
"Tak Segampang Itu","Anggi Marito",1,2022,12,2,213,6,7,6,0,0,48,130,1,51,18,44,76,0,11,3,179659294,14971607.8333333
"LAGUNAS","Jasiel Nuï¿½ï¿½ez, Peso P",2,2023,6,22,58,18,2,106,4,2,184,116,1,77,79,62,33,1,15,3,39058561,6232749.09574468
"Mine (Taylor's Version)","Taylor Swift",1,2023,7,7,99,15,21,52,6,1,0,121,1,65,49,78,0,0,17,4,36912123,6400946.1849711
"Everybody Wants To Rule The World","Tears For Fears",1,1985,2,17,41751,25,101,32,2655,0,666,112,1,64,54,81,36,0,11,6,1205951614,100495967.833333
"No Role Modelz","J. Cole",1,2014,12,9,21164,36,80,65,476,0,14,100,0,70,47,52,30,0,6,33,1791000570,149250047.5
"Tattoo","Loreen",1,2023,2,25,2988,59,74,102,145,18,925,150,0,55,30,78,24,0,12,8,201660859,19835494.3278689
"Rara Vez","Taiu, Milo j",2,2023,2,8,893,38,19,23,24,3,88,120,0,84,96,71,18,0,34,17,248088961,23113878.3540373
"VAGABUNDO","Sebastian Yatra, Manuel Turizo, Beï¿½ï",3,2023,5,12,1094,34,40,58,47,8,203,127,0,82,89,85,4,0,23,6,90839753,11952599.0789474
"august","Taylor Swift",1,2020,7,24,7324,22,25,81,61,1,44,90,1,51,42,61,53,0,9,3,607123776,50593648
"LUNA","Junior H, Peso Pluma",2,2023,6,22,201,11,19,117,8,1,74,128,0,75,79,63,33,0,15,4,55842345,8911012.5
"Miracle (with Ellie Goulding)","Calvin Harris, Ellie Goulding",2,2023,3,10,5120,48,161,115,246,9,638,143,1,64,31,87,4,4,8,4,211050784,21832839.7241379
"Nonsense","Sabrina Carpenter",1,2022,7,15,2346,27,69,12,38,8,64,139,1,74,68,68,3,0,26,4,342897938,28574828.1666667
"Que Vuelvas","Carin Leon, Grupo Frontera",2,2022,12,9,763,26,21,110,21,9,71,162,1,49,78,64,19,0,11,4,2762,230.166666666667
"Por las Noches","Peso Pluma",1,2021,6,11,457,24,8,116,4,3,2,92,1,81,39,60,31,0,7,3,330346424,27528868.6666667
"Feliz Cumpleaï¿½ï¿½os Fe","Feid",1,2022,8,19,3430,38,45,69,52,4,3,95,1,87,57,55,10,0,29,7,601863821,50155318.4166667
"Can't Hold Us (feat. Ray Dalton)","Ray Dalton, Ryan Lewis, Macklemore",3,2011,8,16,6074,52,201,44,6551,2,0,146,1,63,88,93,3,0,10,8,1953533826,162794485.5
"Watermelon Sugar","Harry Styles",1,2019,11,17,21915,34,437,115,1212,12,0,95,1,55,56,82,12,0,34,5,2322580122,193548343.5
"lovely - Bonus Track","Billie Eilish, Khalid",2,2017,8,11,15032,30,221,96,1078,2,136,115,0,35,12,30,93,0,10,3,2355719893,196309991.083333
"Rauw Alejandro: Bzrp Music Sessions, Vol. 56","Rauw Alejandro, Bizarrap",2,2023,6,21,871,32,25,59,32,5,88,128,1,78,59,65,10,0,26,5,66902503,10619444.9206349
"Queencard","(G)I-DLE",1,2023,5,15,451,33,10,126,7,0,148,130,0,82,69,83,3,0,27,5,96273746,12836499.4666667
"OMG","NewJeans",1,2023,1,2,1783,27,26,124,15,1,22,127,0,80,74,77,36,0,11,4,430977451,36115428.8547486
"Radio","Lana Del Rey",1,2011,1,1,9389,46,24,122,282,3,368,150,1,42,20,86,21,0,9,9,284819874,23734989.5
"Shakira: Bzrp Music Sessions, Vol. 53","Shakira, Bizarrap",2,2023,1,11,5724,44,119,108,254,29,22,122,0,78,50,63,27,0,9,5,721975598,62060939.6561605
"505","Arctic Monkeys",1,2007,4,20,13985,25,30,80,588,1,1,140,1,52,20,85,0,0,7,5,1217120710,101426725.833333
"Calling (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, NAV, feat. A Boogie Wit da Hoodie)","Swae Lee, A Boogie Wit da Hoodie, Metro Boomin, NAV",4,2023,6,2,1051,16,31,37,31,0,189,140,1,63,22,54,46,0,12,8,109276132,15760980.5769231
"Trance (with Travis Scott & Young Thug)","Travis Scott, Young Thug, Metro Boomin",3,2022,12,2,1682,46,24,90,30,1,176,119,0,75,48,53,18,0,18,34,276259178,23021598.1666667
"Tere Vaaste (From ""Zara Hatke Zara Bachke"")","Sachin-Jigar, Shadab Faridi, Altamash Faridi, Amitabh Bhattacharya, Varun Jain",5,2023,5,22,182,8,3,88,1,0,52,110,0,76,96,72,32,0,9,4,54225632,7462242.93577982
"Perfect","Ed Sheeran",1,2017,1,1,16596,13,7,0,2094,0,0,95,1,60,17,45,16,0,11,2,2559529074,213294089.5
"Romantic Homicide","d4vd",1,2022,7,20,2335,23,82,55,50,0,9,132,1,56,20,55,45,1,32,3,681583126,56798593.8333333
"Believer","Imagine Dragons",1,2017,1,31,18986,23,250,121,2969,10,31,125,0,77,74,78,4,0,23,11,2594040133,216170011.083333
"Novo Balanï¿½","Veigh, Bvga Beatz, Supernova Ent, Prod Malax",4,2023,5,19,283,7,6,9,26,1,66,124,0,84,65,50,67,0,13,6,81102253,11009355.6108597
"Gol Bolinha, Gol Quadrado 2","Mc Pedrinho, DJ 900",2,2023,6,1,293,8,5,2,30,2,66,133,0,93,68,65,42,0,12,25,11956641,1716264.25837321
"Without Me","Eminem",1,2002,1,1,21081,43,98,76,3889,5,0,112,1,92,67,66,0,0,36,9,1687664027,140638668.916667
"QUEMA","Sog, Ryan Castro, Peso Pluma",3,2023,7,13,437,31,17,29,26,3,208,97,1,79,92,89,5,0,6,5,11599388,2083722.39520958
"Stargirl Interlude","The Weeknd, Lana Del Rey",2,2016,11,24,1275,32,13,8,5,0,1,90,0,59,52,48,38,5,10,11,611700552,50975046
"Ojitos Lindos","Bomba Estï¿½ï¿½reo, Bad B",2,2022,5,6,6135,38,71,113,99,13,28,80,0,65,27,69,8,0,53,4,1133865788,94488815.6666667
"Somewhere Only We Know","Keane",1,2004,1,1,20015,16,107,69,5239,0,558,172,1,45,33,59,6,0,8,3,1089402494,90783541.1666667
"Those Eyes","New West",1,2019,5,10,1507,14,24,71,44,1,195,120,1,60,24,35,73,0,31,3,411747614,34312301.1666667
"El Gordo Trae El Mando","Chino Pacas",1,2023,1,27,539,21,7,71,4,2,13,140,0,74,96,80,18,0,5,5,255932395,23056972.5225225
"Mi Bello Angel","Natanael Cano",1,2023,6,30,86,8,7,76,3,1,93,128,0,81,90,77,1,0,9,5,31873544,5312257.33333333
"Bye","Peso Pluma",1,2023,5,26,324,14,13,110,8,2,60,122,1,78,70,81,57,0,10,5,95053634,13325275.7943925
"Danza Kuduro","Don Omar, Lucenzo",2,2010,1,1,17138,37,119,81,974,1,503,130,1,47,86,92,8,0,5,24,1279434863,106619571.916667
"Nosso Quadro","Ana Castela, AgroPlay",2,2023,2,2,894,9,14,88,66,3,72,160,1,69,61,71,33,0,31,20,233801632,21384295.6097561
"Locked Out Of Heaven","Bruno Mars",1,2012,12,5,1622,9,0,0,356,0,0,144,1,73,87,70,6,0,28,5,1481349984,123445832
"Un Finde | CROSSOVER #2","Big One, FMK, Ke personajes",3,2023,4,4,561,14,4,14,12,5,56,192,1,50,85,52,11,0,28,6,142095275,16025782.8947368
"Jimmy Cooks (feat. 21 Savage)","Drake, 21 Savage",2,2022,6,17,5871,27,81,121,58,1,34,163,1,54,40,67,0,0,9,17,618885532,51573794.3333333
"Counting Stars","OneRepublic",1,2013,1,1,29215,43,179,97,3394,11,153,122,0,66,48,71,6,0,12,4,2011464183,167622015.25
"Ghost","Justin Bieber",1,2021,3,19,5866,24,107,38,95,0,0,154,1,61,41,74,21,0,40,6,1167330737,97277561.4166667
"Under The Influence","Chris Brown",1,2019,10,4,3859,26,133,181,3,0,0,117,0,73,31,69,6,0,11,4,929964809,77497067.4166667
"PRC","Natanael Cano, Peso Pluma",2,2023,1,23,961,26,19,143,10,6,15,138,0,78,89,83,10,0,12,5,436027885,38815538.7240356
"Gasolina","Daddy Yankee",1,2004,7,13,6457,18,98,95,453,0,454,96,1,86,74,80,33,0,8,6,657723613,54810301.0833333
"One Dance","Drake, WizKid, Kyla",3,2016,4,4,43257,24,433,107,3631,0,26,104,1,77,36,63,1,0,36,5,2713922350,226160195.833333
"Enchanted","Taylor Swift",1,2010,1,1,4564,16,24,101,113,0,40,164,1,45,24,62,8,0,16,3,621660989,51805082.4166667
"Save Your Tears","The Weeknd",1,2020,3,20,12688,13,197,115,112,0,200,118,1,68,61,82,2,0,50,3,1591223784,132601982
"Sure Thing","Miguel",1,2010,5,25,13801,19,137,125,435,6,285,81,0,68,51,60,3,0,19,10,950906471,79242205.9166667
"Every Breath You Take - Remastered 2003","The Police",1,1983,1,6,22439,19,211,74,929,0,129,117,1,82,73,45,54,0,7,3,1593270737,132772561.416667
"The Night We Met","Lord Huron",1,2015,2,2,18515,35,70,82,939,1,162,174,1,45,10,37,97,25,64,4,1410088830,117507402.5
"We Found Love","Rihanna, Calvin Harris",2,2011,1,1,36843,21,321,91,4607,1,58,128,1,73,60,77,3,0,11,4,1235005533,102917127.75
"When I Was Your Man","Bruno Mars",1,2012,12,5,2420,11,0,0,806,0,0,145,1,60,43,27,94,0,14,4,1661187319,138432276.583333
"Let Me Down Slowly","Alec Benjamin",1,2018,5,25,5897,19,0,0,885,0,0,150,0,65,51,55,73,0,14,3,1374581173,114548431.083333
"Am I Dreaming (Metro Boomin & A$AP Rocky, Roisee)","A$AP Rocky, Metro Boomin, Roisee",3,2023,6,2,727,16,17,60,28,1,44,90,0,60,13,53,4,0,21,4,94186466,13584586.4423077
"Do I Wanna Know?","Arctic Monkeys",1,2013,1,1,33783,26,133,92,2733,1,26,85,1,55,42,53,17,0,22,3,1788326445,149027203.75
"Demons","Imagine Dragons",1,2012,1,1,26694,13,65,82,3425,4,13,180,1,33,38,71,20,0,28,5,1840364617,153363718.083333
"ýýýýýýýýýýýý","YOASOBI",1,2023,4,12,356,16,35,102,8,1,117,166,1,57,84,94,11,0,37,9,143573775,16694625
"Reminder","The Weeknd",1,2016,11,25,6518,17,45,85,238,1,47,160,1,71,40,50,16,0,16,22,684675814,57056317.8333333
"Shake It Off","Taylor Swift",1,2014,1,1,21335,13,328,70,1378,9,20,160,1,65,95,80,5,0,41,16,1113838873,92819906.0833333
"Why'd You Only Call Me When You're High?","Arctic Monkeys",1,2013,1,1,23389,29,54,70,1089,2,1,92,1,70,81,63,4,0,8,4,1267333350,105611112.5
"SNAP","Rosa Linn",1,2022,3,19,3202,18,148,80,226,24,0,170,1,56,53,64,11,0,45,6,726307468,60525622.3333333
"Shape of You","Ed Sheeran",1,2017,1,6,32181,10,33,0,6808,7,0,96,0,83,93,65,58,0,9,8,3562543890,296878657.5
