"TARGET_deathRate","Geography","incidenceRate","popEst2015","BirthRate","medIncome","povertyPercent","studyPerCap","MedianAge","MedianAgeMale","MedianAgeFemale","AvgHouseholdSize","PercentMarried","PctEmployed16_Over","PctUnemployed16_Over","PctWhite","PctBlack","PctAsian","PctOtherRace"
153.8,"Wahkiakum County, Washington",463.2,4042,0.535475234,51022,13.9,0,52.1,51.5,53.1,2.31,53.5,35.7,10.6,92.96158612,0.123915737,1.140024783,0
162.8,"Walla Walla County, Washington",442.5,60338,4.138710893,49819,15.7,464.0525042,36.9,35.5,39.1,2.5,46.5,54.5,6.4,86.23882396,1.649198004,1.617386063,5.63573653
169.4,"Yakima County, Washington",411,248830,6.560611666,44342,20.5,301.4106016,32.5,31.6,33.6,3.05,48.6,56,9,78.02051672,0.842737502,1.089697989,12.95026838
189.7,"Barbour County, West Virginia",445.2,16704,2.292860865,35615,21.5,0,41.5,40.9,42.1,2.68,52,46.5,9,96.84418146,0.836770068,0.37654653,0.029884645
236.7,"Boone County, West Virginia",501.8,23372,4.220287661,37625,22.1,0,41.9,41.2,43.2,2.5,55.2,39.5,9.2,98.3125,0.675,0.091666667,0.129166667
196.3,"Braxton County, West Virginia",396.6,14415,5.469020422,33817,22.2,0,44.5,43.7,45.3,2.51,52.4,44.3,14.4,97.91234619,0.497718789,0,0
186.2,"Brooke County, West Virginia",481.6,23350,4.970530452,43572,15.1,0,45.9,44.1,48,2.26,50.3,51.9,6.4,96.81808578,1.745193323,0.515529263,0.063384745
194,"Cabell County, West Virginia",483.4,96844,4.521925134,34887,21.9,330.4283177,38.5,36.9,39.9,2.32,43,50.3,6.8,91.06936297,4.818020326,1.189787656,0.228249194
226.5,"Calhoun County, West Virginia",459.9,7470,4.780114723,32162,21.8,0,47,47.6,46.5,2.44,55.7,39.9,18.1,98.25327511,0.09262935,0.052931057,0.026465529
212.9,"Clay County, West Virginia",591,8910,8.753056235,32961,25.1,4938.271605,43.3,43.4,43.3,2.62,55.8,39.6,12.3,98.04178974,0,0,0.043758889
209.9,"Gilmer County, West Virginia",463.1,8518,2.328431373,32705,28.9,0,38.4,37.4,41.2,2.4,43.2,37.1,9.4,81.55946321,10.89773253,0.323924109,1.353540028
128,"Grant County, West Virginia",356.3,11766,3.528435035,41039,17,0,45.6,45.5,45.7,0.028,50.5,51.3,6.7,97.37621667,1.379602201,0,0.110029623
195.1,"Greenbrier County, West Virginia",494.9,35516,4.354354354,36996,21.1,0,45.3,44.6,46.7,2.28,52.2,48.2,7.2,94.14288118,2.299108395,0.38692312,0.42617619
212.1,"Hampshire County, West Virginia",475.1,23353,2.28320067,35980,21.2,0,44.6,44,45.1,2.25,38.7,46,8.1,97.15827033,1.422988701,0.03398182,0.097697732
184.1,"Hancock County, West Virginia",495,29815,5.693029274,48178,12.9,0,45.6,44.1,47.9,2.32,51.8,53.2,7.2,95.71537366,2.238336479,0.248336148,0
153,"Hardy County, West Virginia",374.9,13852,2.955003358,41010,15.3,0,44.5,44.2,45,2.69,50.1,53.7,7.9,94.69001148,4.355625718,0.46641791,0.215269805
206.7,"Harrison County, West Virginia",506.6,68714,5.060383303,42121,13.9,160.0838257,42,40.5,43.5,2.48,52.4,53,7.4,95.67378765,1.820342619,0.526102206,0.155076959
194.2,"Jackson County, West Virginia",475.8,29237,4.735242361,41121,16.7,0,42.6,41.2,44.1,2.62,54.5,46.8,6.8,97.40224228,0.66311184,0.201668034,0.061525841
178.2,"Jefferson County, West Virginia",423.7,56482,4.995519713,66950,10.2,0,39.7,39.9,39.3,2.65,53.3,60.3,8.4,88.24211251,6.96562466,1.622776832,0.56688521
205.4,"Kanawha County, West Virginia",508.7,188332,4.091266719,43936,16.8,191.1517958,42.8,40.9,44.3,2.28,47.9,54.1,7,88.72214738,4.475812581,1.100738543,0.189222197
218.4,"Lewis County, West Virginia",553,16448,4.374100719,40568,20,0,43.3,42.2,44.7,2.48,50.6,47.1,7.2,97.8094195,0.535475234,0.261652671,0
226.9,"Lincoln County, West Virginia",513.2,21415,2.635983264,34295,24.4,46.69624095,41.9,41.4,42.8,2.69,50.6,42.2,10.1,98.32560297,0.477736549,0.269016698,0
240.1,"Logan County, West Virginia",523.9,34707,4.195713917,36437,20.2,28.81263146,42.6,41.5,44.1,2.5,53.1,40.5,10.9,96.44574944,2.192393736,0.363534676,0.164988814
234.8,"McDowell County, West Virginia",457.1,19835,3.860072376,24707,34.9,0,44.1,41.5,46.5,2.39,46,27,13.3,89.35679262,9.157773291,0,0.572060379
188.8,"Marion County, West Virginia",510.9,56925,5.113459745,43729,17.9,0,41.1,39.7,42.7,2.47,51,NA,4.9,93.95492164,3.62211657,0.515935904,0
184.6,"Marshall County, West Virginia",456.3,31978,3.174132305,43356,15.2,0,44.3,42.9,46.5,2.36,57.7,50.9,7,97.66625616,0.858990148,0.406403941,0.172413793
209.5,"Mason County, West Virginia",463.4,27037,3.66910141,35799,20.6,1146.576913,43,42.3,44.1,2.44,51.6,41.2,10.3,97.86584244,0.724877654,0.058873312,0.099348714
198.4,"Mineral County, West Virginia",456.6,27451,7.391231312,40012,16.1,0,43.2,42.1,44.4,2.4,44.2,47,8.8,94.81534859,3.145379211,0.299045217,0.169338858
240.8,"Mingo County, West Virginia",507,25292,2.796024928,29839,28.1,0,41.7,40.4,42.7,2.38,55.6,38.1,14.1,96.08962246,1.415294435,0.408777139,0.327792989
155.9,"Monongalia County, West Virginia",444.5,104236,4.001671717,43835,22.5,95.9361449,30,28.5,31.3,2.56,37.2,55.4,5.8,90.57717276,3.597002007,3.150450486,0.353110123
190.7,"Monroe County, West Virginia",434.6,13506,6.07651913,36351,19.3,0,46.6,45.4,48.3,2.3,56.8,48,7.3,97.65619224,0.695009242,0,0
209.7,"Morgan County, West Virginia",425.4,17524,4.090035685,44446,13,0,46.1,45.8,46.6,2.36,47.7,49.3,12.3,97.35622318,0.772532189,0.417739628,0
199.8,"Nicholas County, West Virginia",455.5,25594,3.346456693,36375,19.6,0,43.4,42.3,44.7,2.39,57.9,46.5,8.4,99.32896259,0.034708831,0.208252989,0
184.4,"Ohio County, West Virginia",500.9,43066,3.257226644,40195,18.4,301.8622579,43.3,41.3,45.1,2.24,45.2,56,5.5,93.13655843,4.152439444,0.850195935,0.288745789
139.8,"Pendleton County, West Virginia",381.8,7229,7.611940299,38204,16.7,0,49.1,47.4,50.3,2.35,55.3,45.4,4.9,95.9605512,2.728992164,0.040529587,0.108078898
176.8,"Pocahontas County, West Virginia",384.8,8607,4.256631709,34341,17.6,0,48.4,47.9,49,2.24,56.4,50.7,5.7,96.75750259,1.483270093,0,0
169.8,"Preston County, West Virginia",435.3,33940,4.038301415,41420,17.6,0,42.3,40.4,43.5,2.52,53.3,49.5,7,94.16427578,3.972315064,0.156762992,0.328314946
171.5,"Putnam County, West Virginia",497.2,56848,6.034482759,59472,10,211.0892204,41,40.4,41.6,2.6,57.4,57.7,3.7,96.62520319,1.500106015,0.33924659,0.169623295
198.2,"Raleigh County, West Virginia",469.6,77510,3.77850558,40270,17.7,12.90156109,41.6,40,43.4,2.4,51.3,45.5,6.6,88.30214159,8.28099321,1.188641025,0.52488757
168.6,"Randolph County, West Virginia",405.2,29126,4.231027535,37468,20.8,0,43.2,41.7,45.1,2.35,52.2,48.7,6.7,96.90447812,1.924059254,0.17708156,0.08854078
204,"Roane County, West Virginia",449.2,14435,2.353331124,33041,23.1,0,44.2,43.2,45,2.48,53.9,41.3,8.9,97.9365947,0.020497404,0.12981689,0.204974037
168.1,"Tucker County, West Virginia",528.4,6966,3.868613139,36466,17.1,0,47.7,47,48.4,2.26,60.5,51.7,7.6,98.16408491,0.229489386,0.602409639,0
199.1,"Tyler County, West Virginia",468.3,8975,1.988950276,41019,15.8,0,46.2,45.6,46.9,2.48,53.5,44.1,10.9,98.73796081,0.166057788,0,0.022141038
189.5,"Upshur County, West Virginia",453.7,24758,5.300938708,38387,19.7,0,41.8,41.2,42.5,2.57,51.5,48.2,8,97.41449511,1.099348534,0.236156352,0.052931596
183.8,"Wayne County, West Virginia",433.2,40971,4.112005292,37242,20,24.40750775,42.5,41.3,43.5,2.47,48.9,43.3,9.9,97.9300706,0.361454493,0.132533314,0.214462999
259.5,"Webster County, West Virginia",511.9,8755,4.203539823,29331,26.1,114.2204455,46.3,45.5,46.6,2.28,54.1,40.2,14.8,97.98364512,0.123221687,0.369665061,0
202.6,"Wetzel County, West Virginia",514.6,15816,6.161137441,40013,18.5,0,46,44.6,47.2,2.46,51.4,41.7,8.1,98.44030451,0.117596088,0.470384354,0
185.8,"Wirt County, West Virginia",455.3,5880,5.968928863,38600,20.3,0,45,45.4,44,2.4,52.2,47.9,8.4,97.41482623,0.838897449,0,0.119842493
185.5,"Wood County, West Virginia",488.8,86452,6.23870268,41932,17.2,173.5066858,42.5,41.1,44,2.37,51.1,52.4,8.6,96.18988205,1.059393015,0.607678,0.251851338
235.4,"Wyoming County, West Virginia",447.8,22151,6.018614271,34419,22.8,0,42.8,41.5,44.2,2.48,55.7,34.6,10.1,97.72588122,0.782821657,0,0.126825855
206,"Adams County, Wisconsin",467.9,20148,3.861129137,42063,17.8,0,51.4,49.7,53.3,2.47,50.9,42.2,10.1,93.18859713,3.051195541,0.391178915,0.718791257
217.5,"Ashland County, Wisconsin",451.5,15843,6.460336538,41294,14.9,0,42.2,40.8,42.8,2.29,45.9,58.2,7.9,84.96217095,0.525229788,0.518977052,0.175076596
168.4,"Barron County, Wisconsin",412.1,45563,5.884312202,46375,13.7,1097.381647,43.9,42,45.6,2.35,55.8,60,6,95.66169067,1.267346671,0.474981395,0.709188811
171.7,"Bayfield County, Wisconsin",369.9,14977,5.547054323,44395,13.6,0,50.8,50.5,51.1,2.16,58.5,54.1,7.2,86.37873754,0.664451827,0.445182724,0.252491694
158.6,"Brown County, Wisconsin",479.1,258718,5.921762149,54141,12,1213.676667,36.8,35.7,37.9,2.46,51.4,65.4,6.1,86.45045286,2.359873899,3.026496072,2.879666453
166.4,"Buffalo County, Wisconsin",385.7,13192,7.17472119,50998,10.5,151.6070346,45,45.1,44.9,2.29,59,64.7,3.7,97.49230423,0.473008484,0.090096854,0.848412043
190.1,"Burnett County, Wisconsin",399.2,15159,4.96054115,41810,16.5,0,50.9,50.6,51.4,2.08,59,50.3,7.5,91.5416721,0.482587714,0.410851702,0.254336768
157.9,"Calumet County, Wisconsin",474.1,49762,4.330985915,68430,5.9,0,39,38.4,39.8,2.66,62,69.4,3.1,94.67772455,0.779016869,2.411530255,0.696485366
160.1,"Chippewa County, Wisconsin",482.4,63531,5.497771174,52485,10.7,487.9507642,40.6,39.1,42,2.44,55.6,61.8,5.1,95.12569413,1.358983689,1.202360423,0.229397712
153.8,"Dane County, Wisconsin",430.7,523643,4.458527742,61937,13.4,129.8594653,34.6,33.7,35.6,2.35,47.5,69.5,4.9,84.4213423,5.199353976,5.404960427,1.885542476
178.9,"Dodge County, Wisconsin",437.3,88502,4.49736915,54359,9.9,0,42,40.4,43.7,2.51,51.1,60.1,6,93.82361909,2.096061978,0.603069556,0.927191209
158.7,"Door County, Wisconsin",449.3,27554,4.481380181,49717,11,1778.326196,51.7,50.2,53.2,2.11,62.6,55.6,6.2,96.61750388,0.540910894,0.479607659,0.393061916
192.8,"Douglas County, Wisconsin",354.7,43601,6.150455775,46475,13.9,0,40.6,39.8,41.3,2.28,47.6,59.9,7,92.94732756,1.102764903,1.137012261,0.264846229
155.6,"Dunn County, Wisconsin",396.1,44497,5.116736739,52224,13.9,0,34.1,33.4,35,2.48,47.6,62,6.1,94.42242804,0.597839625,2.096967776,0.23551258
163.4,"Eau Claire County, Wisconsin",440.9,102105,4.346348463,48102,14.4,675.7749376,33.8,33,34.7,2.43,46.4,65.3,5.8,92.75184882,0.737551959,3.447833256,0.233015077
171.9,"Florence County, Wisconsin",308.2,4464,3.462050599,44562,12.8,0,51.1,50.8,51.3,2.32,59.9,51.1,7.2,98.45844504,0.201072386,0.067024129,0
159.4,"Fond du Lac County, Wisconsin",477,101973,4.541733098,52149,9.9,235.3564179,41,40.1,41.8,2.4,54.8,64.6,5.3,93.58516484,1.164638933,1.315737834,1.864207221
166.4,"Forest County, Wisconsin",490.6,9057,7.250418293,41418,17,4306.06161,45.3,44.4,46.4,2.33,52.8,47.6,10.1,82.26229508,0.491803279,0.153005464,0
166.9,"Grant County, Wisconsin",428.2,52250,5.174434328,46972,15,0,36.1,33.2,39.7,2.44,48.6,62.2,4.6,96.73716716,1.303190973,0.736079551,0.273844899
158.4,"Green County, Wisconsin",420,37186,5.46031746,53328,8.7,0,42.2,41.3,43.2,2.47,56.7,67.6,3.5,97.19792679,0.296944174,0.639779721,0.410322859
169.9,"Sheridan County, Nebraska",356.1,5220,5.360824742,40351,16,191.5708812,46.1,45.2,47.8,2.29,56.5,61.2,1.4,84.54854552,0.434454099,0.547789951,0.491122025
187.4,"Sherman County, Nebraska",400.6,3091,7.992565056,43883,12.1,0,49.5,47.7,50.5,2.21,61,62.2,3.1,97.90794979,1.223044738,0.193112327,0.418410042
138.2,"Stanton County, Nebraska",221.5,5937,5.678233438,55955,9.2,0,38.8,36.8,41.4,2.61,62.7,68.3,2.6,97.18796251,0.559118566,0.263114619,0.345337938
215,"Thurston County, Nebraska",453.6,7064,8.467741935,41344,34,0,28.6,27.5,30.3,3.3,40.9,NA,14.4,41.41952203,0.100777426,0.56147423,0.388712928
142.1,"Wayne County, Nebraska",392,9367,5.981533521,53290,13.6,0,30.1,27.2,32.2,2.33,53.9,66.8,3,95.25729443,3.342175066,0.021220159,0.732095491
162.7,"Webster County, Nebraska",495.5,3625,3.524229075,40979,12.7,0,47.5,45.5,49,2.31,57.2,56.7,4.7,95.53692183,0.054097917,1.379496889,0.513930214
164.7,"York County, Nebraska",389.2,13806,6.993486459,51335,10.6,0,41.3,38.2,43.6,2.31,56.5,65.5,2,95.60940326,0.933092224,0.224231465,0.701627486
167.7,"Clark County, Nevada",453.5494221,2114801,5.125073246,51241,15.6,405.2390745,36.4,35.9,37,2.78,44.6,57.7,10.8,63.75048389,10.83685568,9.169756707,10.14589511
145.2,"Douglas County, Nevada",453.5494221,47710,5.193753615,60322,10.3,0,49.4,48.7,50,2.37,58.9,51.5,8.5,89.15127277,0.554391756,1.305571426,3.49986246
262.1,"Esmeralda County, Nevada",453.5494221,829,4.326923077,47180,14,0,46.5,43,47.5,2.35,44.3,46,11.9,87.37949167,0,0,7.975460123
178.7,"Eureka County, Nevada",453.5494221,2016,2.412868633,70535,9.8,0,43.9,44.9,42.6,2.17,64.7,64,4.7,95.80587178,0.119832235,0,1.437986818
191.5,"Humboldt County, Nevada",453.5494221,17019,5.517423442,67423,10.7,0,35.3,34.9,35.4,2.74,51.6,64.5,7.8,87.06275268,0.451163063,0.31640007,4.371008379
127.4,"Lincoln County, Nevada",453.5494221,5036,4.519774011,45629,15.1,0,37.4,37.3,38.1,2.55,56.8,41,11.8,90.64304967,2.9264536,0.077011937,0.904890258
195.7,"Lyon County, Nevada",453.5494221,52585,4.62962963,48576,13.7,0,43.2,43.1,43.4,2.63,51.1,48.6,13.6,85.73668622,0.936949494,1.306696092,5.42617651
254.3,"Mineral County, Nevada",453.5494221,4478,9.518477044,40714,19,0,48.7,48,49.2,0.0225,41.8,48.1,15.4,66.68856767,1.314060447,4.095488392,4.358300482
213.5,"Nye County, Nevada",453.5494221,42477,6.302577113,42881,16.8,0,50.8,50.8,50.8,0.0242,54.4,39.7,13.4,85.66334311,2.564222874,1.431085044,5.158944282
121.8,"Pershing County, Nevada",453.5494221,6634,14.62113127,52001,18.5,0,41.3,39.5,44.1,2.29,44.8,36.9,9.5,86.35822672,4.819994049,0.163641773,2.915798869
132.6,"Storey County, Nevada",453.5494221,3987,1.17820324,55291,8.4,0,54.7,54,55.6,2.2,53.5,50.4,10.3,94.24790023,0.432680071,1.450750827,0.203614151
166,"Washoe County, Nevada",453.5494221,446903,5.642578635,52862,15.4,170.0592746,37.6,36.8,38.4,2.58,47,59.6,9.1,80.45763518,2.406331677,5.309883017,5.805723428
193.5,"Carson City, Nevada",453.5494221,54521,4.262413265,45639,19.3,36.68311293,42.6,41.2,44.4,2.43,45.1,52.9,11.3,82.83653317,0.965456481,2.988142873,7.250100951
182.6,"Belknap County, New Hampshire",508.6,60641,4.824422651,59831,10,329.8098646,46.1,45.3,46.8,2.42,54.2,60.8,5.3,96.38901306,0.543055349,1.066242819,0.322853027
168.8,"Carroll County, New Hampshire",481.8,47285,7.381867511,57556,10.7,0,50.3,49.3,51,2.22,59.4,56.6,5.8,97.39650201,0.359901501,0.599835834,0.027360933
162.8,"Cheshire County, New Hampshire",489.4,75909,4.687933426,56008,11.8,13.17366847,42,41.4,42.5,2.34,48.4,62.2,6.1,95.68755724,0.730079812,1.17493131,0.392516028
181.6,"Coos County, New Hampshire",459.2,31212,5.975049245,42491,14.9,32.03895937,48.1,46.7,49.5,2.13,51.5,54.2,6.9,95.54753687,1.735174145,0.429871352,0.335738939
163.2,"Hillsborough County, New Hampshire",482.2,406678,5.055576216,71233,8.7,105.7347582,40.1,39.2,41.1,2.55,51.4,66.1,5.9,90.78351965,2.388531878,3.608418405,0.934223164
173.1,"Merrimack County, New Hampshire",507.6,147994,3.901815696,62429,9.5,378.3937187,42.6,41.4,43.7,2.49,51.5,62.9,5.2,94.9824123,1.181567546,1.635180834,0.407437085
172.2,"Rockingham County, New Hampshire",518.8,301777,4.370734571,79653,6.1,72.90151337,43.5,42.6,44.3,2.51,56.8,68,5.6,95.2281894,0.748145522,1.856484485,0.490291165
177.6,"Strafford County, New Hampshire",502.6,126825,3.681800261,58577,11.8,94.61856889,37.2,36.1,38.3,2.48,46.8,64.3,6.5,93.39362832,0.957907929,2.885697636,0.395935277
179.5,"Atlantic County, New Jersey",505.5,274219,4.69661296,54208,15.1,43.76064386,40.6,38.9,42,2.64,45.1,58,12.5,67.14492185,15.56381093,8.286488292,5.106835745
171.6,"Burlington County, New Jersey",531.8,450226,4.910516481,80479,7.2,446.4424533,41,39.2,42.6,2.66,50.8,61,8.5,72.79982954,16.12030469,4.655137208,2.602118272
182.8,"Camden County, New Jersey",530.9,510923,5.434939238,61685,13,972.7493184,38.3,36.6,40.1,2.71,44.7,59.6,10.2,63.28325501,19.40984144,5.58595932,8.484212829
193.1,"Cape May County, New Jersey",559.1,94727,5.43325019,55409,13,179.4630887,48.3,46.7,49.9,2.3,53.4,53,10,90.84703304,4.732529617,1.151296905,1.61160691
189.6,"Cumberland County, New Jersey",511.3,155854,5.846434788,45438,19.5,128.3252275,36.9,35.6,38.8,2.86,39.6,51,11.1,63.05218582,20.47441653,1.346833508,10.27796351
161.8,"Essex County, New Jersey",450.6,797434,5.084469955,54603,16.7,137.9424504,36.9,35.4,38.4,2.77,39.1,57.7,13,41.9237275,39.89456916,4.912652585,10.20503809
152.6,"Hudson County, New Jersey",399.5,674836,5.344239425,57720,17.7,1.481841514,34.7,33.8,35.6,2.63,41.5,62.7,9.3,55.6263856,12.74804978,14.6299759,13.56028125
145.1,"Hunterdon County, New Jersey",496.3,125488,4.22223833,103876,4.7,47.81333673,45,43.5,46.1,2.6,57.7,64,5.9,91.06217822,2.581386139,3.628514851,1.268910891
160.3,"Mercer County, New Jersey",504.7,371398,4.725836381,73750,11.8,96.93105509,38.4,36.9,39.9,2.69,47.2,59.5,9.4,62.9261072,20.1471049,10.07800936,4.855326137
156.7,"Middlesex County, New Jersey",466.7,840900,5.074989438,77330,8.3,89.19015341,37.7,36.6,38.9,2.85,51.6,60.4,7.5,61.04600747,9.84306877,23.23810671,3.426592798
168.6,"Monmouth County, New Jersey",529.6,628715,4.571872443,87220,8.2,146.3302132,42.3,40.9,43.6,2.67,53.2,60.8,7.9,82.60289104,7.286251262,5.283819544,2.606228693
174.2,"Ocean County, New Jersey",524.9,588721,6.13243835,62937,11.9,62.84810632,42.8,40.4,45.1,2.59,53.6,53.6,8.8,91.84420259,3.09760905,1.872996829,1.492844288
159.1,"Passaic County, New Jersey",448.4,510916,4.533343875,58030,18.2,60.67533606,36.5,35.1,37.9,3.09,44.3,57.8,8.6,64.2678703,12.60387648,5.298143719,13.241616
194.8,"Salem County, New Jersey",516.6,64180,5.98109071,56645,13.1,62.32471175,41.8,40.2,42.8,2.61,48.7,55.8,10.6,80.25184275,14.02487715,0.97972973,2.315724816
153.3,"Somerset County, New Jersey",471,333654,4.842990108,100194,5,329.6828451,40.8,39.6,42,2.81,56.6,65,6,68.24146108,9.095473739,16.07119091,4.459111203
176.4,"Sussex County, New Jersey",493.1,143673,4.625184917,82048,6.2,132.2447502,43.4,42.5,44.2,2.67,55.9,64,8.2,93.33721647,2.111971493,1.848831632,1.045706846
155.6,"Union County, New Jersey",463,555786,5.746896424,68172,11.1,25.18955137,38.1,36.5,39.5,2.91,46.5,62,9.8,57.86687417,21.30720336,4.822467307,13.51850772
175.1,"Warren County, New Jersey",485.9,106869,4.839230894,71294,8.3,28.0717514,42.6,41.4,43.7,2.52,54.5,61.3,9,89.1518848,4.11560629,2.70829836,2.343647996
147.1,"Bernalillo County, New Mexico",404.1,676685,5.264795797,47192,18.7,294.0807022,36.5,35.2,37.9,2.52,43.7,57.5,8.4,71.84702564,2.966719737,2.320819416,14.06276198
164.7,"Catron County, New Mexico",375.5,3456,0.689655172,33256,22.2,0,57.1,55.5,58.7,2.44,49.4,33.6,4.6,96.42757466,0.669829752,0.334914876,0.418643595
164.5,"Chaves County, New Mexico",375.8,65764,8.496374333,38403,23.4,0,34.8,32.9,36.7,2.72,48.1,52.9,7.6,79.57636261,1.747428241,0.791660969,13.69679841
146.5,"Cibola County, New Mexico",375.5,27329,6.744769874,35081,28.8,0,36.2,35.2,37.8,2.98,38.1,44.9,15.3,43.37886203,1.015265503,0.624497845,11.0474034
139.9,"Colfax County, New Mexico",377.4,12414,5.741042345,37156,20.5,0,47.6,46.9,48.4,2.26,48.3,45.8,9.5,85.49665307,0.415480495,1.123336155,9.332922982
143.8,"Curry County, New Mexico",336.5,50398,7.197033541,42620,19.2,0,30.7,29.3,32.9,2.72,48.7,54,9.1,69.66552468,6.350872329,1.542665901,17.74362833
243.6,"De Baca County, New Mexico",467.1,1828,0,33789,20.6,0,47.3,51.2,45.9,3.84,27.6,36.9,5.2,80.04950495,0,0.148514851,15.0990099
150.8,"Doña Ana County, New Mexico",381,214295,5.880465757,38974,27.9,111.9951469,32.4,31.1,34,2.8,46.2,54,11.5,89.05792123,1.73020569,1.088505957,4.908792642
170.8,"Eddy County, New Mexico",391.3,57578,9.558702453,57007,14.1,0,36.5,35.3,37.7,2.66,50.3,60.1,5.8,89.60119336,1.324562822,0.517603925,5.422260563
159.4,"Grant County, New Mexico",366.5,28609,5.998550199,38221,19.1,454.4024608,46.5,44.6,48.1,2.37,45.8,NA,9.7,89.08959786,0.631889831,0.19574848,5.910230434
142.8,"Guadalupe County, New Mexico",361.2,4371,3.558718861,29147,25.8,0,41.6,40.9,41.9,3.28,33.7,35,1.2,84.15819708,1.568714096,0.022094565,8.837825895
166.3,"Hidalgo County, New Mexico",357,4423,5.485232068,34304,24.5,678.2726656,41.8,40.6,42.4,2.47,46.1,50,12.2,91.21257807,0.258453586,0,5.104458324
166.2,"Lea County, New Mexico",357.1,71180,7.530333184,58994,16.6,0,31.8,31.5,32.2,3.08,53.3,59.1,5.9,87.31896286,3.451261207,0.192225858,5.567213019
123.4,"Lincoln County, New Mexico",363.9,19420,8.532518066,39995,20.1,1287.332647,50.4,48.4,51.1,2.33,52.2,48.3,7.3,85.7006673,0.622146405,0.18062315,8.499322663
181.8,"Luna County, New Mexico",420.6,24518,8.62924023,27268,30.6,0,39,38.3,39.2,2.7,47.1,44.4,13.8,89.47517044,1.173907782,0.383234499,5.66783654
137.7,"McKinley County, New Mexico",332.9,76708,7.322096363,29497,35.8,0,30.8,29,32.3,3.97,33.5,42.4,15.5,16.93289008,0.814886889,0.968945107,3.735236087
134.3,"Mora County, New Mexico",359,4596,1.084812623,27627,24.2,0,42.6,44,42.6,2.81,41.2,31.9,5.4,63.64806867,0.128755365,0,35.57939914
161.1,"Otero County, New Mexico",393,64362,8.221797323,41736,20.2,15.53711818,35.6,33.1,37.9,2.63,49.1,43.2,12.7,75.95609174,3.708013105,1.345723996,8.291741939
190.6,"Quay County, New Mexico",412.7,8455,4.063068526,29069,23.9,0,45.7,43.7,48.2,2.59,45,41.6,5,89.99770062,2.207404001,0.632329271,4.265348356
163.5,"Roosevelt County, New Mexico",360.7,19120,4.392712551,36108,24,0,29.4,28,30.8,2.62,45.1,53.1,9.7,73.5583685,2.496483826,0.562587904,19.02752662
158.2,"San Miguel County, New Mexico",355.6,27967,5.744748568,32964,25.5,0,42.5,42.1,42.9,2.51,33,41.4,6.4,56.35900656,1.817357332,0.92786382,36.8285196
126.1,"Santa Fe County, New Mexico",374.3,148686,4.017424976,52628,14.2,60.53024495,44.4,42.7,46.2,2.35,47.6,NA,7.9,83.24428311,0.781058814,1.213394241,8.915218751
190.3,"Sierra County, New Mexico",424.2,11282,8.198614319,29036,23.8,0,55.6,54.7,56.5,2.25,47.9,39.8,6.8,91.39044339,0.4563065,0.241067585,3.409384417
